timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734109657755,77,Moodle/moodle/theme/image.php/classic/core/1731384351/f/spreadsheet-473,200,OK,for 50 samples 1-2,bin,true,,1325,522,3,7,https://cse.buet.ac.bd/moodle/theme/image.php/classic/core/1731384351/f/spreadsheet,77,0,0
1734109657594,238,Home/public/img/service/Consultancy.jpg-424,200,OK,for 50 samples 1-1,bin,true,,157553,475,3,7,https://cse.buet.ac.bd/public/img/service/Consultancy.jpg,80,0,0
1734109657786,94,Home/home/ra-454,200,OK,for 100 samples 2-2,text,true,,5006,496,4,7,https://cse.buet.ac.bd/home/ra,93,0,0
1734109657671,209,Moodle/moodle/-440,200,OK,for 100 samples 2-4,text,true,,12078,517,4,7,https://cse.buet.ac.bd/moodle/?redirect=0,208,0,0
1734109657703,267,Moodle/complete/search-436,200,OK,for 100 samples 2-5,text,true,,1924,293,4,7,https://www.google.com/complete/search?client=firefox&channel=fen&q=cs,267,0,142
1734109657880,113,Home/-455,200,OK,for 100 samples 2-2,text,true,,7496,448,4,7,https://cse.buet.ac.bd/,112,0,0
1734109657746,264,Home/public/img/service/Consultancy.jpg-452,200,OK,for 100 samples 2-3,bin,true,,157553,475,4,7,https://cse.buet.ac.bd/public/img/service/Consultancy.jpg,84,0,0
1734109657832,179,Moodle/moodle/mod/forum/view.php-474,200,OK,for 50 samples 1-2,text,true,,15886,541,3,7,https://cse.buet.ac.bd/moodle/mod/forum/view.php?id=47,178,0,0
1734109657714,352,Moodle/v1/profile-460,200,OK,for 50 samples 1-3,text,true,,941,1292,3,7,https://profile.accounts.firefox.com/v1/profile,352,0,87
1734109657993,101,Home/home/pg_cc-456,200,OK,for 100 samples 2-2,text,true,,4623,499,4,7,https://cse.buet.ac.bd/home/pg_cc,100,0,0
1734109657832,280,Home/public/img/service/Outreach.jpg-427,200,OK,for 50 samples 1-1,bin,true,,191370,472,3,7,https://cse.buet.ac.bd/public/img/service/Outreach.jpg,103,0,0
1734109658012,108,Home/-415,200,OK,for 50 samples 1-2,text,true,,7496,448,3,7,https://cse.buet.ac.bd/,108,0,0
1734109658112,63,Home/public/img/Arrow-r.png-423,200,OK,for 50 samples 1-1,bin,true,,950,463,3,7,https://cse.buet.ac.bd/public/img/Arrow-r.png,63,0,0
1734109658094,81,Notice/home/notice-457,200,OK,for 100 samples 2-2,text,true,,3583,510,4,7,https://cse.buet.ac.bd/home/notice,81,0,0
1734109657880,301,Moodle/moodle/course/view.php-441,200,OK,for 100 samples 2-4,text,true,,10799,1599,4,7,https://cse.buet.ac.bd/moodle/login/index.php,112,0,0
1734109657880,112,Moodle/moodle/course/view.php-441-0,303,See Other,for 100 samples 2-4,text,true,,2099,535,4,7,https://cse.buet.ac.bd/moodle/course/view.php?id=69,112,0,0
1734109657993,99,Moodle/moodle/course/view.php-441-1,303,See Other,for 100 samples 2-4,text,true,,2010,535,4,7,https://cse.buet.ac.bd/moodle/enrol/index.php?id=69,99,0,0
